9,4032
8,9574
8,9574
9,4032
9,849
10,2948
11,1864
11,6322
11,1864
10,7406
10,4434
10,1462
9,9976
9,7004
9,2546
8,9574
9,2546
9,7004
9,849
9,849
9,7004
10,1462
10,2948
9,849
9,2546
9,4032
9,4032
9,849
9,9976
9,9976
9,849
9,7004
9,5518
9,4032
9,4032
8,8088
8,6602
9,4032
9,9976
9,9976
9,849
10,2948
10,592
10,1462
10,1462
9,849
9,7004
9,4032
9,5518
9,5518
9,7004
9,9976
10,4434
10,7406
11,1864
11,0378
10,592
10,592
9,9976
9,5518
8,8088
8,6602
9,4032
9,9976
10,2948
10,1462
10,1462
9,849
9,5518
9,106
9,106
9,2546
9,849
10,1462
10,2948
10,4434
9,7004
9,2546
9,5518
9,7004
9,4032
9,106
9,4032
9,7004
9,9976
10,4434
10,4434
10,1462
9,849
9,849
10,2948
10,7406
10,7406
10,592
10,2948
10,1462
10,2948
9,849
9,4032
9,7004
9,7004
9,9976
10,592
11,9294
12,3752
12,2266
11,7808
10,8892
10,592
10,4434
10,7406
10,8892
11,0378
11,7808
12,078
12,821
13,2668
13,564
14,0098
13,8612
13,2668
12,9696
12,6724
12,2266
11,7808
11,6322
11,6322
11,335
11,335
10,8892
10,7406
10,8892
10,7406
10,4434
10,1462
9,9976
9,9976
9,849
9,9976
9,9976
9,7004
9,7004
9,5518
9,7004
9,849
9,7004
9,9976
9,9976
9,7004
10,1462
10,7406
10,7406
10,8892
10,2948
9,5518
9,106
8,6602
8,8088
8,9574
8,5116
8,5116
8,0658
7,9172
8,2144
7,7686
7,0256
5,8368
4,9452
5,5396
5,6882
5,5396
5,6882
5,6882
6,134
6,7284
6,7284
6,134
5,2424
4,0536
3,3106
2,8648
2,8648
2,7162
3,7564
4,3508
4,3508
3,905
4,0536
4,648
4,4994
4,2022
3,3106
2,7162
2,8648
3,4592
3,905
3,6078
3,3106
3,7564
4,3508
4,648
4,4994
3,162
1,676
0,7844
0,4872
0,6358
0,19
-0,553
-0,8502
-0,1072
0,7844
0,7844
0,19
-0,2558
-0,4044
-0,8502
-1,1474
-1,1474
-1,5932
-2,3362
-2,4848
-1,8904
-0,9988
-0,1072
-0,1072
-0,553
-0,7016
-0,553
-0,1072
0,3386
0,3386
-0,1072
-0,7016
-0,8502
-0,2558
0,4872
1,0816
1,5274
1,5274
0,19
-1,5932
-2,782
-3,2278
-3,3764
-2,4848
-2,4848
-2,782
-2,782
-3,525
-4,1194
-4,7138
-5,011
-5,011
-5,1596
-5,1596
-4,8624
-3,8222
-3,2278
-3,0792
-2,782
-2,782
-3,2278
-3,6736
-4,1194
-4,7138
-5,3082
-4,7138
-3,6736
-3,0792
-3,0792
-3,525
-3,8222
-3,6736
-3,525
-3,9708
-4,4166
-4,4166
-3,9708
-3,3764
-3,525
-3,8222
-4,4166
-4,8624
-4,7138
-4,4166
-4,7138
-5,3082
-6,3484
-6,7942
-6,3484
-6,3484
-6,0512
-5,4568
-4,8624
-5,1596
-6,0512
-6,9428
-6,6456
-5,9026
-5,3082
-5,6054
-6,9428
-7,8344
-8,5774
-8,8746
-7,8344
-6,7942
-6,7942
-6,6456
-6,7942
-7,6858
-7,5372
-7,5372
-8,2802
-9,0232
-9,6176
-9,1718
-8,2802
-7,3886
-7,24
-8,2802
-9,0232
-9,3204
-9,0232
-9,0232
-9,7662
-10,0634
-9,0232
-7,5372
-6,9428
-7,6858
-9,0232
-9,6176
-8,8746
-7,24
-7,0914
-7,6858
-7,8344
-7,5372
-7,24
-7,0914
-7,24
-7,3886
-7,3886
-6,7942
-6,3484
-5,9026
-6,3484
-7,983
-9,0232
-8,5774
-8,4288
-7,6858
-6,6456
-5,754
-5,754
-6,6456
-7,3886
-7,983
-8,4288
-8,8746
-8,4288
-8,5774
-8,4288
-7,983
-7,6858
-7,6858
-8,2802
-8,5774
-8,1316
-8,4288
-8,4288
-8,5774
-8,726
-8,4288
